X,Y,OBJECTID,vrsta,naziv,lokacija,broj_stalaka,broj_bicikala,godina_postavljanja,MJESNI_ODBOR,GRADSKA_CETVRT
15.9341879470001,45.7967519480001,150,stalci,Dinarska - Ljubljanica,Ugao Dinarske i ulice Ljubljanica,2,4,2019,Ljubljanica,TREŠNJEVKA - SJEVER
15.955012708,45.810558083,151,stalci,Trg Francuske republike 15,Trg Francuske republike,3,6,2017,"""Ban Keglević""",ČRNOMEREC
15.9396403760001,45.797846624,152,stalci,Vitezićeva ulica 57,Vitezićeva ulica,3,6,2019,Pongračevo,TREŠNJEVKA - SJEVER
15.954599307,45.810850558,153,stalci,Trg Francuske republike - igralište,Trg Francuske republike,2,4,2017,"""Ban Keglević""",ČRNOMEREC
15.986583307,45.762661107,154,stalci,Karela Zahradnika 8,Karela Zahradnika 8,5,10,2019,Sloboština,NOVI ZAGREB - ISTOK
15.9745066620001,45.77646952,155,stalci,Trg Senjskih uskoka 8,Trg Senjskih uskoka 8,3,6,2017,Siget,NOVI ZAGREB - ZAPAD
15.9747167800001,45.7760318900001,156,stalci,Trg senjskih uskoka 3,Trg senjskih uskoka 3,3,6,2017,Siget,NOVI ZAGREB - ZAPAD
15.977402522,45.813749903,157,stalci,Pod zidom,Harmica,3,6,2017,"""August Cesarec""",GORNJI GRAD - MEDVEŠČAK
16.0236715520001,45.807156746,158,stalci,"Racinova 1B, DV Duga","Racinova 1B, DV Duga",3,6,2016,Volovčica,PEŠČENICA - ŽITNJAK
16.024622731,45.8124155020001,159,stalci,"Gradska ljekarna, Vidrićeva 38a","Gradska ljekarna, Vidrićeva 38a",3,6,2016,"""Bruno Bušić""",PEŠČENICA - ŽITNJAK
16.0177316670001,45.813611666,160,stalci,Divka Budaka 16,Divka Budaka 16,3,6,2019,Peščenica,PEŠČENICA - ŽITNJAK
16.013282352,45.81452826,161,stalci,Svetice 23,Svetice 23,3,6,2017,Peščenica,PEŠČENICA - ŽITNJAK
16.017340533,45.8145761650001,162,stalci,Borongaj 2,Borongaj 2,14,28,2019,Maksimirska naselja,MAKSIMIR
